split_card,drawn_card,upcard,optimal_actions,stand,hit,double,value
4,1,4,hit,-0.21106310899491437,0.05928537693117987,0.05842651874374489,0.05928537693117987
4,1,5,double,-0.16719266083547535,0.09195969878115236,0.12595448524867897,0.12595448524867897
4,1,6,double,-0.15369901583000453,0.11824589170260667,0.17974820582791504,0.17974820582791504
4,1,7,hit,-0.47537518327693334,0.0370282822792692,-0.1838655800163816,0.0370282822792692
4,1,8,hit,-0.5105175154976173,-0.02705478050290174,-0.31444090236733896,-0.02705478050290174
4,1,9,hit,-0.5431496811311094,-0.11218876868994293,-0.4563669632837084,-0.11218876868994293
4,1,10,hit,-0.5404303339949851,-0.17370423031226792,-0.5140284882483093,-0.17370423031226792
4,2,1,hit,-0.6669507746855103,-0.30414663097569933,-1.304837349418594,-0.30414663097569933
4,2,2,hit,-0.29278372720927737,-0.14075911746001993,-0.5640583560296724,-0.14075911746001993
4,2,3,hit,-0.25225022923571355,-0.1072910780086084,-0.48372599880817485,-0.1072910780086084
4,2,4,hit,-0.21106310899491437,-0.07291714192638732,-0.40205087401296746,-0.07291714192638732
4,2,5,hit,-0.16719266083547535,-0.03491597333010231,-0.3155774316293275,-0.03491597333010231
4,2,6,hit,-0.15369901583000453,-0.013005835529874334,-0.28194600450564805,-0.013005835529874334
4,2,7,hit,-0.47537518327693334,-0.1519327072366995,-0.894047875200907,-0.1519327072366995
4,2,8,hit,-0.5105175154976173,-0.2172418813207848,-1.0012555626184392,-0.2172418813207848
4,2,9,hit,-0.5431496811311094,-0.29264070019772603,-1.0678385251105431,-0.29264070019772603
4,2,10,hit,-0.5404303339949851,-0.33774944037840815,-1.0622899449028678,-0.33774944037840815
4,3,1,hit,-0.6669507746855103,-0.310071650331637,-1.130452149704034,-0.310071650331637
4,3,2,hit,-0.29278372720927737,-0.10918342786661638,-0.43575788710453833,-0.10918342786661638
4,3,3,hit,-0.25225022923571355,-0.07658298190446361,-0.3597794964219526,-0.07658298190446361
4,3,4,hit,-0.21106310899491437,-0.04302179400434189,-0.2822990657450914,-0.04302179400434189
4,3,5,hit,-0.16719266083547535,-0.007271360902941012,-0.2027300913795883,-0.007271360902941012
4,3,6,hit,-0.15369901583000453,0.029185342353860846,-0.13833716429227233,0.029185342353860846
